PC1,PC2
-0.8403678600528927,0.38104129549979143
1.0831482084341526,0.39653840672452356
-0.8296447685333742,0.35949332131134853
-0.8242832227736151,0.34871933421712714
-0.8189216770138559,0.33794534712290575
-0.8135601312540967,0.32717136002868435
-0.7867524024553006,0.2733014245575772
-0.30185222601372,0.2690952120430942
-0.2964906802539608,0.25832122494887266
-0.2911291344942016,0.2475472378546513
-0.7653062194162639,0.23020547618069154
-0.28040604297468325,0.2259992636662085
-0.7331369448577087,0.165561553615363
-0.248236768416128,0.16135534110087987
-0.7224138533381903,0.14401357942692022
1.201102215148855,0.1595106906516522
-0.711690761818672,0.12246560523847731
-0.7063292160589127,0.1116916181442559
-0.6795214872601167,0.05782168267314879
-0.19462131081853604,0.05361547015866577
-0.18925976505877687,0.04284148306444438
-0.18389821929901765,0.03206749597022284
-0.65807530422108,0.014725734296263077
1.2654407642659653,0.03022284552099518
-0.1463673989807033,-0.043350413689326975
-0.14100585322094408,-0.05412440078354844
-0.6151829381430064,-0.0714661624575082
-0.6098213923832472,-0.08224014955172965
-0.6044598466234881,-0.09301413664595104
-0.11955967018190736,-0.09722034916043407
-0.5722905720649328,-0.15765805921127957
-2.566126383989178,-1.101132894230986
-0.08202884986359293,-0.17263825881998404
-0.5562059347856553,-0.1899800204939439
0.40823287233774685,-0.18761845842868852
0.4135944180975061,-0.1983924455229099
-0.5186751144673409,-0.2653979301534937
-2.512510926391586,-1.2088727651732
-0.02841339226600101,-0.28037812976219817
-0.5025904771880633,-0.2977198914361581
-0.017690300746482618,-0.30192610395064107
-0.49186738566854493,-0.31926786562460086
0.4725714214548572,-0.31690630355934557
0.014478973812072556,-0.36657002651596954
-0.4596981111099897,-0.38391178818992944
-0.4543365653502306,-0.39468577528415083
-0.44897501959047137,-0.4054597623783723
0.03592515685110935,-0.4096659748928553
0.04128670261086853,-0.42043996198707667
1.5067103234551291,-0.4546065737189686
0.07345597716942369,-0.48508388455240514
1.5174334149746476,-0.47615454790741163
-0.39535956199287936,-0.5131996333205865
0.08954061444870132,-0.5174058458350695
1.5335180522539251,-0.5084765091900758
-0.3578287416745651,-0.5886175429801364
-0.35246719591480585,-0.5993915300743577
0.1324329805267749,-0.603597742588841
-0.3417441043952874,-0.6209395042628008
-0.33638255863552824,-0.6317134913570221
-0.33102101287576907,-0.6424874784512435
0.17532534660484841,-0.6897896393426123
0.18068689236460758,-0.7005636264368337
-0.2934901925574547,-0.7179053881107935
0.6709486145659475,-0.7155438260455382
0.19677152964388522,-0.732885587719498
0.2021330754036444,-0.7436595748137194
-0.25059782647938117,-0.8040972848645648
-0.24523628071962192,-0.8148712719587862
-0.23987473495986264,-0.8256452590530078
