PC1,PC2,PC3,cluster,original_label
-2.1549370302716517,0.42434013245530866,0.29198049333416676,2,A Athanaze
-0.9393022666222555,-0.2641996703403006,-0.8599730619811766,1,A Bishnoi
-0.9393022666222555,-0.2641996703403006,-0.8599730619811766,1,A Bohara
1.0980351483825521,-0.35440324795030576,0.24166471964354902,5,A Bosch
0.8546993106741203,0.8056582317054336,-0.46960508780226146,5,A Dercksen
-0.28637428129514314,-1.5009728691316353,-2.009585518522314,1,A Khaka
-1.4558595320997065,0.5087228607760912,-0.016521680367380207,2,A Kolan
0.30843604142054754,-1.167996312149862,-0.032798776375411905,3,A Lister
-2.6281363237346067,0.4764760009046219,0.673023308669146,2,A Morris
0.17980230384611928,0.6638080700046762,-0.2143641214828726,3,A Otwani
0.9368142967022514,-1.670938786711136,1.4329574835495855,4,A Patmore
1.6543398187057277,-0.9777321398656876,0.5429933788423684,5,AA Jangoo
-0.9294006330230068,-0.30682529143627046,-0.7234180481642378,1,AB de Villiers
-0.251486091579539,-0.6459393473868712,0.4680175036431959,3,AC Agar
2.4527698767717347,0.05991913714085882,0.5264659248345739,5,AC Douglas
3.506887977547299,0.9154050617907823,0.35175823484342533,6,AC Jayangani
0.4222849199486631,-0.7829952171479275,-1.0799345744717104,1,AC Kerr
1.4148962374596898,-0.26484695703596395,0.7508926076927753,5,AD Hales
-2.467662071710469,0.812338286738562,0.7733788795599887,2,ADS Fletcher
-0.9309686217568858,-0.5245970579470871,-0.8952390989690441,1,AE Jones
2.3487341160121264,-0.49941752019302815,-0.20793217841970246,5,AJ Finch
-2.6281363237346067,0.4764760009046219,0.673023308669146,2,AJ Tye
-1.0203059489908788,-0.8171162038437371,-0.625797120651262,1,AR Cusack
1.6911034318076132,2.7504571132043605,-0.2577477213923775,0,AR Naidoo
-0.7966722316569157,-0.21866786124051082,-0.7877280516940155,1,AR White
-0.9926428930004074,-0.774098467678529,-1.1301874848918072,1,AT Carey
-1.781235513851517,0.09264074714728987,-0.13495987900725775,2,AU Rashid
2.775849272688123,-1.294598268663175,-0.23039201929484016,5,AWJ Auguste
0.31997585327444067,1.0186615980712896,0.46146388209554945,3,Aamer Ikram
2.0332299928888,0.266629581463921,-0.3073731469265792,5,Aamir Kaleem
3.256708878523357,-2.947818600762281,1.149867196846821,4,Aamir Lal
-2.654314185658775,0.44654291177725797,0.6801787850533317,2,Aaqib Sulehri
0.9190152625671525,-0.3241797919246013,0.493031815879297,3,Aarif Sheikh
0.9795884811657254,-1.7294917894704736,-1.073187212081963,1,Abdul Razzaq
2.444837915211172,2.6982630134041554,-0.038989262251706285,0,Adnan Ilyas
-0.44434281543636317,-0.04756936538885066,-1.0222938820333574,1,Akhil Arjunan
-1.9665330804760828,0.05949615056079673,-0.015348222064201599,2,Alam Nakash
2.298673263717533,1.0448255976768372,-0.08831860047368398,5,Aliya Riaz
-0.5149563740231838,1.4594195422169518,-0.274235792920207,3,Amar Sharma
0.3979503536356261,-0.4321989153312984,-0.7057821664427991,1,Amjad Sher
-1.879337934872454,1.2376347575062687,0.5903642226591844,2,Ananya Sarma
0.8843420989611483,-1.524171882918886,-0.2475569547588155,4,Anjar Tadarus
