innings,ball,runs_off_bat,extras
-0.9495790218880034,-1.6596473034498314,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.6420540515218736,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-1.6244607995939155,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.6068675476659577,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.589274295738,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.5716810438100421,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.483714784170253,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.4661215322422951,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.4485282803143371,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.4309350283863793,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.4133417764584215,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.3957485245304637,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.3077822648906745,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.2901890129627165,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.272595761034759,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.255002509106801,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-1.237409257178843,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.2198160052508853,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.131849745611096,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.1142564936831383,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.0966632417551805,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.0790699898272225,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-1.0614767378992647,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-1.0438834859713069,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-0.9559172263315178,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.9383239744035599,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.9207307224756021,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.9031374705476442,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.8855442186196864,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.8679509666917286,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.7799847070519393,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.7623914551239814,-0.7092181709943443,2.8697401586235034
-0.9495790218880034,-0.7447982031960236,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.7272049512680657,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.7096116993401079,0.6656182996833853,-0.21504735533160058
-0.9495790218880034,-0.6920184474121501,0.6656182996833853,-0.21504735533160058
-0.9495790218880034,-0.604052187772361,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.586458935844403,-0.7092181709943443,2.8697401586235034
-0.9495790218880034,-0.5688656839164453,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.5512724319884873,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.5336791800605296,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.5160859281325718,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.49849267620461385,0.6656182996833853,-0.21504735533160058
-0.9495790218880034,-0.4281196684927826,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.41052641656482464,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.3929331646368669,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.37533991270890893,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.3577466607809512,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.3401534088529934,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.2521871492132042,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-0.23459389728524643,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.21700064535728833,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-0.19940739342933056,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.1818141415013728,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.16422088957341502,2.040454770361115,-0.21504735533160058
-0.9495790218880034,-0.07625462993362582,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.058661378005668036,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.04106812607770995,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,-0.023474874149752172,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,-0.0058816222217943975,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,0.011711629706163379,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,0.09967788934595258,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,0.11727114127391035,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,0.13486439320186844,-0.7092181709943443,-0.21504735533160058
-0.9495790218880034,0.1524576451298262,0.6656182996833853,-0.21504735533160058
-0.9495790218880034,0.17005089705778398,-0.021799935655479472,-0.21504735533160058
-0.9495790218880034,0.18764414898574178,-0.021799935655479472,-0.21504735533160058
