k,silhouette_score
2,0.35305974934466045
3,0.34529650392248074
4,0.2988989441830799
5,0.31726424418712756
6,0.3085837049328962
7,0.31929013476582574
8,0.2929329420673247
9,0.2993505692021597
10,0.30420085646058914
