PC1,PC2,PC3
-0.8403678600528927,0.38104129549979143,-1.763824497856081
1.0831482084341526,0.39653840672452356,-2.0958701051802757
-0.8296447685333742,0.35949332131134853,-1.7388388769623009
-0.8242832227736151,0.34871933421712714,-1.726346066515411
-0.8189216770138559,0.33794534712290575,-1.713853256068521
-0.8135601312540967,0.32717136002868435,-1.701360445621631
-0.7867524024553006,0.2733014245575772,-1.6388963933871807
-0.30185222601372,0.2690952120430942,-1.712538187383062
-0.2964906802539608,0.25832122494887266,-1.7000453769361719
-0.2911291344942016,0.2475472378546513,-1.6875525664892819
-0.7653062194162639,0.23020547618069154,-1.5889251515996206
-0.28040604297468325,0.2259992636662085,-1.6625669455955019
-0.7331369448577087,0.165561553615363,-1.5139682889182804
-0.248236768416128,0.16135534110087987,-1.5876100829141615
-0.7224138533381903,0.14401357942692022,-1.4889826680245004
1.201102215148855,0.1595106906516522,-1.821028275348695
-0.711690761818672,0.12246560523847731,-1.4639970471307202
-0.7063292160589127,0.1116916181442559,-1.4515042366838302
-0.6795214872601167,0.05782168267314879,-1.38904018444938
-0.19462131081853604,0.05361547015866577,-1.4626819784452614
-0.18925976505877687,0.04284148306444438,-1.4501891679983712
-0.18389821929901765,0.03206749597022284,-1.4376963575514812
-0.65807530422108,0.014725734296263077,-1.3390689426618199
1.2654407642659653,0.03022284552099518,-1.6711145499860147
-0.1463673989807033,-0.043350413689326975,-1.350246684423251
-0.14100585322094408,-0.05412440078354844,-1.3377538739763608
-0.6151829381430064,-0.0714661624575082,-1.2391264590866995
-0.6098213923832472,-0.08224014955172965,-1.2266336486398095
-0.6044598466234881,-0.09301413664595104,-1.2141408381929195
-0.11955967018190736,-0.09722034916043407,-1.2877826321888008
-0.5722905720649328,-0.15765805921127957,-1.1391839755115793
-2.566126383989178,-1.101132894230986,-0.5825303561873215
-0.08202884986359293,-0.17263825881998404,-1.2003329590605705
-0.5562059347856553,-0.1899800204939439,-1.1017055441709092
0.40823287233774685,-0.18761845842868852,-1.2614819426095616
0.4135944180975061,-0.1983924455229099,-1.2489891321626716
-0.5186751144673409,-0.2653979301534937,-1.014255871042679
-2.512510926391586,-1.2088727651732,-0.4576022517184212
-0.02841339226600101,-0.28037812976219817,-1.0754048545916701
-0.5025904771880633,-0.2977198914361581,-0.9767774397020087
-0.017690300746482618,-0.30192610395064107,-1.0504192336978901
-0.49186738566854493,-0.31926786562460086,-0.9517918188082287
0.4725714214548572,-0.31690630355934557,-1.111568217246881
0.014478973812072556,-0.36657002651596954,-0.9754623710165496
-0.4596981111099897,-0.38391178818992944,-0.8768349561268883
-0.4543365653502306,-0.39468577528415083,-0.8643421456799983
-0.44897501959047137,-0.4054597623783723,-0.8518493352331082
0.03592515685110935,-0.4096659748928553,-0.9254911292289895
0.04128670261086853,-0.42043996198707667,-0.9129983187820995
1.5067103234551291,-0.4546065737189686,-1.108938079875963
0.07345597716942369,-0.48508388455240514,-0.8380414561007593
1.5174334149746476,-0.47615454790741163,-1.0839524589821827
-0.39535956199287936,-0.5131996333205865,-0.7269212307642079
0.08954061444870132,-0.5174058458350695,-0.8005630247600891
1.5335180522539251,-0.5084765091900758,-1.0464740276415128
-0.3578287416745651,-0.5886175429801364,-0.6394715576359777
-0.35246719591480585,-0.5993915300743577,-0.6269787471890877
0.1324329805267749,-0.603597742588841,-0.7006205411849687
-0.3417441043952874,-0.6209395042628008,-0.6019931262953075
-0.33638255863552824,-0.6317134913570221,-0.5895003158484176
-0.33102101287576907,-0.6424874784512435,-0.5770075054015276
0.17532534660484841,-0.6897896393426123,-0.6006780576098486
0.18068689236460758,-0.7005636264368337,-0.5881852471629586
-0.2934901925574547,-0.7179053881107935,-0.4895578322732973
0.6709486145659475,-0.7155438260455382,-0.6493342307119496
0.19677152964388522,-0.732885587719498,-0.5507068158222884
0.2021330754036444,-0.7436595748137194,-0.5382140053753984
-0.25059782647938117,-0.8040972848645648,-0.38961534869817716
-0.24523628071962192,-0.8148712719587862,-0.37712253825128716
-0.23987473495986264,-0.8256452590530078,-0.36462972780439695
-0.23451318920010347,-0.8364192461472292,-0.35213691735750696
-0.2291516434403443,-0.8471932332414506,-0.3396441069106169
-0.22379009768058514,-0.8579672203356719,-0.327151296463727
-0.19698236888178913,-0.911837155806779,-0.2646872442292768
0.2879178075597915,-0.916043368321262,-0.338329038225158
0.2932793533195508,-0.9268173554154836,-0.3258362277782677
-0.18089773160251152,-0.9441591170894436,-0.22720881288860656
0.30400244483906913,-0.9483653296039264,-0.3008506068844878
-0.17017464008299318,-0.9657070912778861,-0.20222319199482663
0.8157103500794457,-1.0064414775895163,-0.3120283486459188
0.34153326515738347,-1.0237832392634763,-0.21340093375625763
-0.13264381976467873,-1.0411250009374362,-0.11477351886659623
0.3522563566769019,-1.0453312134519193,-0.18841531286247745
-0.1219207282451604,-1.062672975125879,-0.08978789797281622
-0.11655918248540123,-1.0734469622201004,-0.07729508752592623
1.3488644383588595,-1.1076135739519921,-0.27323484861978964
0.3951487227549754,-1.1315231102056904,-0.0884728292873573
-0.07902836216708678,-1.1488648718796504,0.010154585602304141
